label,source_path,error
positive,data/positives_original/akykla/aleksa/315674.jpg,no_face
positive,data/positives_original/akykla/aleksa/351715.jpg,no_face
positive,data/positives_original/akykla/aleksa/760559.jpg,no_face
positive,data/positives_original/akykla/anastasiya/957734.jpg,face_too_small
positive,data/positives_original/akykla/anna/863564.jpg,no_face
positive,data/positives_original/akykla/arina1/682678.jpg,no_face
positive,data/positives_original/akykla/elena/293426.jpg,face_too_small
positive,data/positives_original/akykla/elena/515869.jpg,face_too_small
positive,data/positives_original/akykla/elena/538574.jpg,no_face
positive,data/positives_original/akykla/lana/183075.jpg,no_face
positive,data/positives_original/akykla/lana/784424.jpg,no_face
positive,data/positives_original/akykla/leona/198211.jpg,no_face
positive,data/positives_original/akykla/leona/891236.jpg,no_face
positive,data/positives_original/akykla/malena/609964.jpg,no_face
positive,data/positives_original/akykla/masha/370972.jpg,no_face
positive,data/positives_original/akykla/nikol/906342.jpg,no_face
positive,data/positives_original/akykla/viktoriya3/998810.jpg,no_face
positive,data/positives_original/inter-escort/22/rkl46qaqdjwwkdvijcusj10ypbgmh0r6.jpg,face_too_small
positive,data/positives_original/inter-escort/37/3l3x2l1fm4cyzqaulu3t9h6tkfeezx32.jpg,no_face
positive,data/positives_original/inter-escort/57/ko9lv3bdxwz14dsrsem60albf66e4qnd.jpg,no_face
positive,data/positives_original/inter-escort/71/il374lumobv4rrr4hf1w0vivt5frjq14.jpg,no_face
positive,data/positives_original/inter-escort/73/sxkcire4bqjvyn6efxspfm64duik17mm.jpg,no_face
positive,data/positives_original/inter-escort/76/tmmyg4lloa2ti0zwt5f2ug43xv7rvg61.jpg,no_face
positive,data/positives_original/luxty_escort/group_017/g017_p2_photo_50@04-05-2026_21-34-47.jpg,no_face
positive,data/positives_original/luxty_escort/group_018/g018_p3_photo_54@04-05-2026_21-34-47.jpg,no_face
positive,data/positives_original/luxty_escort/group_020/g020_p3_photo_60@04-05-2026_21-34-47.jpg,no_face
positive,data/positives_original/luxty_escort/group_021/g021_p3_photo_63@04-05-2026_21-34-47.jpg,no_face
positive,data/positives_original/luxty_escort/group_022/g022_p2_photo_65@04-05-2026_21-34-48.jpg,no_face
positive,data/positives_original/luxty_escort/group_026/g026_p2_photo_77@04-05-2026_21-34-48.jpg,no_face
positive,data/positives_original/luxty_escort/group_026/g026_p3_photo_78@04-05-2026_21-34-48.jpg,no_face
positive,data/positives_original/luxty_escort/group_029/g029_p2_photo_86@04-05-2026_21-34-48.jpg,no_face
positive,data/positives_original/luxty_escort/group_029/g029_p3_photo_87@04-05-2026_21-34-48.jpg,no_face
positive,data/positives_original/luxty_escort/group_038/g038_p3_photo_114@04-05-2026_21-36-46.jpg,no_face
positive,data/positives_original/luxty_escort/group_042/g042_p2_photo_125@04-05-2026_21-36-46.jpg,no_face
positive,data/positives_original/luxty_escort/group_045/g045_p2_photo_134@04-05-2026_21-36-46.jpg,no_face
positive,data/positives_original/luxty_escort/group_053/g053_p2_photo_158@04-05-2026_21-36-47.jpg,no_face
positive,data/positives_original/luxty_escort/group_056/g056_p3_photo_168@04-05-2026_21-36-47.jpg,no_face
positive,data/positives_original/luxty_escort/group_066/g066_p3_photo_198@04-05-2026_21-36-47.jpg,no_face
positive,data/positives_original/luxty_escort/group_067/g067_p3_photo_201@04-05-2026_21-38-31.jpg,no_face
positive,data/positives_original/luxty_escort/group_070/g070_p3_photo_210@04-05-2026_21-38-31.jpg,no_face
positive,data/positives_original/luxty_escort/group_073/g073_p1_photo_217@04-05-2026_21-38-31.jpg,no_face
positive,data/positives_original/luxty_escort/group_084/g084_p3_photo_252@04-05-2026_21-38-32.jpg,no_face
positive,data/positives_original/luxty_escort/group_089/g089_p3_photo_267@04-05-2026_21-38-32.jpg,no_face
positive,data/positives_original/luxty_escort/group_090/g090_p3_photo_270@04-05-2026_21-38-32.jpg,no_face
positive,data/positives_original/luxty_escort/group_094/g094_p3_photo_282@04-05-2026_21-38-32.jpg,no_face
positive,data/positives_original/luxty_escort/group_098/g098_p2_photo_293@04-05-2026_21-38-32.jpg,no_face
positive,data/positives_original/luxty_escort/group_099/g099_p3_photo_297@04-05-2026_21-38-32.jpg,no_face
positive,data/positives_original/luxty_escort/group_101/g101_p2_photo_302@04-05-2026_21-39-57.jpg,no_face
positive,data/positives_original/luxty_escort/group_118/g118_p3_photo_354@04-05-2026_21-39-57.jpg,no_face
positive,data/positives_original/luxty_escort/group_129/g129_p2_photo_386@04-05-2026_21-39-58.jpg,no_face
positive,data/positives_original/luxty_escort/group_129/g129_p3_photo_387@04-05-2026_21-39-58.jpg,no_face
positive,data/positives_original/luxty_escort/group_130/g130_p3_photo_390@04-05-2026_21-39-58.jpg,no_face
positive,data/positives_original/luxty_escort/group_134/g134_p3_photo_402@04-05-2026_21-41-06.jpg,no_face
positive,data/positives_original/luxty_escort/group_142/g142_p3_photo_426@04-05-2026_21-41-07.jpg,no_face
positive,data/positives_original/luxty_escort/group_146/g146_p2_photo_437@04-05-2026_21-41-07.jpg,no_face
positive,data/positives_original/luxty_escort/group_146/g146_p3_photo_438@04-05-2026_21-41-07.jpg,no_face
positive,data/positives_original/luxty_escort/group_147/g147_p3_photo_441@04-05-2026_21-41-07.jpg,no_face
positive,data/positives_original/luxty_escort/group_152/g152_p2_photo_455@04-05-2026_21-41-07.jpg,no_face
positive,data/positives_original/luxty_escort/group_154/g154_p3_photo_462@04-05-2026_21-41-07.jpg,no_face
positive,data/positives_original/luxty_escort/group_165/g165_p3_photo_495@04-05-2026_21-41-08.jpg,no_face
positive,data/positives_original/luxty_escort/group_184/g184_p3_photo_552@04-05-2026_21-42-17.jpg,no_face
positive,data/positives_original/luxty_escort/group_196/g196_p2_photo_587@04-05-2026_21-42-17.jpg,no_face
positive,data/positives_original/luxty_escort/group_204/g204_p3_photo_612@04-05-2026_21-43-11.jpg,no_face
positive,data/positives_original/luxty_escort/group_206/g206_p1_photo_616@04-05-2026_21-43-11.jpg,no_face
positive,data/positives_original/luxty_escort/group_206/g206_p2_photo_617@04-05-2026_21-43-11.jpg,no_face
positive,data/positives_original/luxty_escort/group_214/g214_p3_photo_642@04-05-2026_21-43-11.jpg,no_face
positive,data/positives_original/luxty_escort/group_217/g217_p2_photo_650@04-05-2026_21-43-11.jpg,no_face
positive,data/positives_original/luxty_escort/group_217/g217_p3_photo_651@04-05-2026_21-43-11.jpg,no_face
positive,data/positives_original/luxty_escort/group_228/g228_p3_photo_684@04-05-2026_21-43-12.jpg,no_face
positive,data/positives_original/luxty_escort/groups_065_185/g065_p2_photo_194@04-05-2026_21-36-47.jpg,no_face
positive,data/positives_original/luxty_escort/groups_065_185/g065_p3_photo_195@04-05-2026_21-36-47.jpg,no_face
positive,data/positives_original/luxty_escort/groups_065_185/g185_p2_photo_554@04-05-2026_21-42-17.jpg,no_face
positive,data/positives_original/luxty_escort/groups_172_222/g172_p2_photo_515@04-05-2026_21-42-16.jpg,no_face
negative,data/negatives_original/vk_user_photos/1035754771/previous_avatar.jpg,no_face
negative,data/negatives_original/vk_user_photos/106563475/avatar.jpg,no_face
negative,data/negatives_original/vk_user_photos/11176561/avatar.jpg,no_face
negative,data/negatives_original/vk_user_photos/133310945/avatar.jpg,no_face
negative,data/negatives_original/vk_user_photos/13563299/previous_avatar.jpg,no_face
negative,data/negatives_original/vk_user_photos/13652931/avatar.jpg,no_face
